Plate #	Well #	ID #	Nanodrop ng/ul	260/280	260/230	Qubit ng/ul	Project Leader		bruiser
7	C4	7634	98.26	1.82	1.94	71.7	Bryan Brunet		
7	D4	7635	60.41	1.79	1.7	38.8	Bryan Brunet		
7	E4	7637	39.77	1.76	1.66	23	Bryan Brunet		
7	F4	7644	104.25	1.74	1.19	50.2	Bryan Brunet		
7	G4	7646	59.55	1.75	1.64	33.1	Bryan Brunet		
7	H4	7648	321.02	1.7	0.93	94	Bryan Brunet		
7	A5	7649	307.69	1.69	0.86	44	Bryan Brunet		
7	B5	7650	443.55	1.7	0.92	51.3	Bryan Brunet		
7	C5	7658	129.79	1.8	1.61	79.2	Bryan Brunet		
7	D5	7664	74.83	1.75	1.45	36.1	Bryan Brunet		
7	E5	7666	114.14	1.7	1.03	42.6	Bryan Brunet		
7	F5	7667	90.39	1.75	1.41	48.4	Bryan Brunet		
7	G5	7669	89.19	1.69	1.31	33.7	Bryan Brunet		
7	H5	7678	61.57	1.8	1.65	31.4	Bryan Brunet		
7	A6	7680	95.15	1.76	1.54	50.9	Bryan Brunet		
7	B6	7681	195.66	1.66	0.86	53.1	Bryan Brunet		
7	C6	7683	129.9	1.76	1.27	50.6	Bryan Brunet		
7	D6	7684	232.87	1.61	0.76	41.7	Bryan Brunet		
7	E6	7686	268.57	1.63	0.78	29.2	Bryan Brunet		
7	F6	7690	61.56	1.78	2.04	33.1	Bryan Brunet		
7	G6	7691	181.51	1.7	0.88	28.8	Bryan Brunet		
7	H6	7695	175.26	1.69	0.99	61.3	Bryan Brunet		
7	A7	7696	96.78	1.74	1.35	44.8	Bryan Brunet		
7	B7	7697	72.92	1.73	1.51	29.9	Bryan Brunet		
7	C7	7704	55.48	1.72	1.64	27	Bryan Brunet		
7	D7	7712	48.44	1.73	1.96	22.3	Bryan Brunet		
7	E7	7713	64.68	1.78	1.99	39.4	Bryan Brunet		
7	F7	8510	84.91	1.68	1.26	20.8	Bryan Brunet		
7	G7	8513	37.19	1.82	1.79	22.4	Bryan Brunet		
7	H7	7723	57.39	1.69	1.44	26.5	Bryan Brunet		
7	A8	7727	125.49	1.65	1.06	46.8	Bryan Brunet		
7	B8	8612	38.03	1.73	3.25	23.2	Bryan Brunet		
7	C8	7732	191	1.65	0.96	29	Bryan Brunet		
7	D8	8618	45.9	1.98	3	23.1	Bryan Brunet		
7	E8	7748	109.71	1.76	1.47	57.1	Bryan Brunet		
7	F8	7751	47.09	1.71	1.49	24.5	Bryan Brunet		
7	G8	7754	59.97	1.73	1.6	44.2	Bryan Brunet		
7	H8	7954	61.59	1.89	2.12	64.5	Bryan Brunet		
7	A9	7977	39.9	1.65	1.79	24.1	Bryan Brunet		
7	B9	7978	113.44	1.8	1.57	49.1	Bryan Brunet		
7	C9	7980	67.37	1.92	1.7	41.7	Bryan Brunet		
7	D9	7981	43.35	1.69	1.77	26	Bryan Brunet		
7	E9	7982	218.94	1.81	1.41	109	Bryan Brunet		
7	F9	7983	41.4	1.82	1.3	20.1	Bryan Brunet		
7	G9	7985	69.05	1.87	1.78	40.5	Bryan Brunet		
7	H9	7986	159.8	1.8	1.25	72.1	Bryan Brunet		
7	A10	7988	85.22	1.87	1.7	47.4	Bryan Brunet		
7	B10	7989	195.32	1.8	1.42	103	Bryan Brunet		
7	C10	7991	71.5	1.88	1.71	42.4	Bryan Brunet		
7	D10	7992	36.56	1.9	1.75	20.9	Bryan Brunet		
7	E10	7997	152.97	1.72	0.91	45.2	Bryan Brunet		
7	F10	7999	40.78	1.98	2.03	27.4	Bryan Brunet		
7	G10	8014	101.11	1.87	1.59	24.4	Bryan Brunet		
7	H10	8017	41.99	1.75	2.13	21.1	Bryan Brunet		
7	A11	8018	78.38	1.9	1.84	39.9	Bryan Brunet		
7	B11	8019	61.76	1.85	1.87	37	Bryan Brunet		
7	C11	8020	88	1.87	1.69	51.7	Bryan Brunet		
7	D11	8021	34.57	1.8	2.18	20.4	Bryan Brunet		
7	E11	8022	137.26	1.79	1.5	60	Bryan Brunet		
7	F11	8023	140.2	1.8	1.27	52.4	Bryan Brunet		
7	G11	8024	124.71	1.89	1.82	91.3	Bryan Brunet		
7	H11	8025	38.74	1.88	1.95	22	Bryan Brunet		
7	A12	8026	100.94	1.84	1.6	54	Bryan Brunet		
7	B12	8027	35.76	1.99	1.83	22.8	Bryan Brunet		
7	C12	8028	120.89	1.71	1.1	33.7	Bryan Brunet		
7	D12	8030	36.62	1.84	2.09	20.5	Bryan Brunet		
7	E12	8037	45.83	1.87	3.27	27.1	Bryan Brunet		
7	F12	8038	42.23	1.85	2.77	27.2	Bryan Brunet		
7	G12	8039	52.63	1.89	2.27	32.8	Bryan Brunet		
7	H12	8042	49.57	1.87	1.68	23.1	Bryan Brunet		
8	A1	8043	52.52	1.93	3.05	29.1	Bryan Brunet		
8	B1	8047	79.76	1.87	2.72	45.4	Bryan Brunet		
8	C1	8049	44.4	1.86	1.79	35.3	Bryan Brunet		
8	D1	8051	75	1.78	1.58	39.6	Bryan Brunet		
8	E1	8052	43.85	1.73	1.44	22.2	Bryan Brunet		
8	F1	8053	49.41	1.72	1.6	26.8	Bryan Brunet		
8	G1	8054	42.97	1.77	1.78	24.5	Bryan Brunet		
8	H1	8055	66.18	1.77	1.5	38.5	Bryan Brunet		
8	A2	8056	38.8	1.75	1.63	24	Bryan Brunet		
8	B2	8057	38.23	1.86	1.74	22.4	Bryan Brunet		
8	C2	8059	59.72	1.75	1.54	29.8	Bryan Brunet		
8	D2	8060	58.24	1.76	1.54	30.7	Bryan Brunet		
8	E2	8062	49.65	1.74	1.82	29.2	Bryan Brunet		
8	F2	8063	101.51	1.74	1.26	43.7	Bryan Brunet		
8	G2	8064	63.23	1.75	1.58	35.5	Bryan Brunet		
8	H2	8065	79.34	1.72	1.33	35.9	Bryan Brunet		
8	A3	8068	103.66	1.77	1.39	51.1	Bryan Brunet		
8	B3	8069	88.38	1.76	1.6	49.2	Bryan Brunet		
8	C3	8070	75.89	1.76	1.52	36	Bryan Brunet		
8	D3	8071	98.48	1.7	1.23	35.2	Bryan Brunet		
8	E3	8076	234.39	1.72	1.49	33.8	Bryan Brunet		
8	F3	8085	78.71	1.74	1.31	32.9	Bryan Brunet		
8	G3	8086	117.2	1.71	1.13	46.8	Bryan Brunet		
8	H3	8087	110.04	1.68	0.99	36.2	Bryan Brunet		
8	A4	8088	100.52	1.76	1.29	29.4	Bryan Brunet		
8	B4	8090	91.49	1.73	1.29	38.2	Bryan Brunet		
8	C4	8091	136.86	1.7	1.11	53.2	Bryan Brunet		
8	D4	8092	59.25	1.7	1.33	27.9	Bryan Brunet		
8	E4	8094	39.76	1.73	1.77	26.2	Bryan Brunet		
8	F4	8095	58.65	1.7	1.73	35.3	Bryan Brunet		
8	G4	8108	31.13	1.76	1.67	22.2	Bryan Brunet		
8	H4	8110	55.93	1.8	1.68	33.3	Bryan Brunet		
8	A5	8116	57.99	1.85	1.89	20.9	Bryan Brunet		
8	B5	8121	31.38	1.65	1.67	22.2	Bryan Brunet		
8	C5	8126	88.41	1.79	1.96	54.7	Bryan Brunet		
8	D5	8127	70.92	1.72	1.56	42.1	Bryan Brunet		
8	E5	8133	39.99	1.66	1.71	25.9	Bryan Brunet		
8	F5	8134	35.94	1.6	1.43	21	Bryan Brunet		
8	G5	8137	40.49	1.67	1.55	25.6	Bryan Brunet		
8	H5	8138	33.27	1.65	1.42	20.6	Bryan Brunet		
8	A6	8141	33.94	1.73	1.58	22.2	Bryan Brunet		
8	B6	8142	29.25	1.68	1.65	20.9	Bryan Brunet		
8	C6	8154	40.83	1.9	1.78	28.8	Bryan Brunet		
8	D6	8155	47.71	1.82	1.8	30.5	Bryan Brunet		
8	E6	8156	54.22	1.93	1.89	37.5	Bryan Brunet		
8	F6	8157	71.49	1.8	1.87	47.5	Bryan Brunet		
8	G6	8158	53.95	1.8	1.71	32.5	Bryan Brunet		
8	H6	8159	48.59	1.91	1.78	31.5	Bryan Brunet		
8	A7	8164	64.37	1.85	1.77	41.1	Bryan Brunet		
8	B7	8165	77.08	1.72	1.33	34.9	Bryan Brunet		
8	C7	8166	39.28	1.81	1.7	23.9	Bryan Brunet		
8	D7	8167	46.38	1.74	1.57	31.4	Bryan Brunet		
8	E7	8168	98.27	1.73	1.51	53.6	Bryan Brunet		
8	F7	8169	69.36	1.7	1.47	41.1	Bryan Brunet		
8	G7	8170	60.67	1.75	1.7	38.3	Bryan Brunet		
8	H7	8172	73.85	1.75	1.53	42.1	Bryan Brunet		
8	A8	8173	64.64	1.73	1.36	32.3	Bryan Brunet		
8	B8	8174	93.77	1.76	1.66	59	Bryan Brunet		
8	C8	8179	51.27	1.77	1.47	33.8	Bryan Brunet		
8	D8	8182	45.95	1.76	1.45	28.6	Bryan Brunet		
8	E8	8183	34.98	1.75	1.69	23.8	Bryan Brunet		
8	F8	8185	43.46	1.76	1.54	28.3	Bryan Brunet		
8	G8	8186	62.35	1.75	1.37	36.9	Bryan Brunet		
8	H8	8190	41.64	1.75	1.41	27.8	Bryan Brunet		
8	A9	8205	35.23	1.72	1.27	20	Bryan Brunet		
8	B9	8208	97.7	1.64	0.82	21.3	Bryan Brunet		
8	C9	8210	54.06	1.76	1.18	23	Bryan Brunet		
8	D9	8211	36.4	1.8	1.98	29.5	Bryan Brunet		
8	E9	8216	42.35	1.78	2.25	26.2	Bryan Brunet		
8	F9	8229	95.94	1.71	1.02	29.3	Bryan Brunet		
8	G9	8233	85.49	1.74	1.15	33.7	Bryan Brunet		
8	H9	8248	93.56	1.79	2.37	66.8	Bryan Brunet		
8	A10	8250	91.14	1.84	2.37	69.4	Bryan Brunet		
8	B10	8251	93.43	1.84	2.27	47.4	Bryan Brunet		
8	C10	8253	114.51	1.85	2.01	77.3	Bryan Brunet		
8	D10	8261	119.97	1.82	1.98	70.2	Bryan Brunet		
8	E10	8262	101.94	1.85	2.18	42	Bryan Brunet		
8	F10	8264	114.1	1.8	1.87	68.3	Bryan Brunet		
8	G10	8267	66.98	1.8	1.73	43.1	Bryan Brunet		
8	H10	8270	121.64	1.87	2.01	89.5	Bryan Brunet		
8	A11	8271	97.75	1.83	2.01	72	Bryan Brunet		
8	B11	8275	76.23	1.86	2.04	50.5	Bryan Brunet		
8	C11	8276	90.22	1.85	1.92	63	Bryan Brunet		
8	D11	8279	71.19	1.89	2.04	51.8	Bryan Brunet		
8	E11	8281	68.79	1.89	1.92	43.9	Bryan Brunet		
8	F11	8283	89.82	1.84	2.1	62	Bryan Brunet		
8	G11	8285	90.02	1.85	1.89	62.9	Bryan Brunet		
8	H11	8297	41.41	1.84	1.76	28.6	Bryan Brunet		
8	A12	8299	33.34	1.89	1.68	20.7	Bryan Brunet		
8	B12	8300	51.96	1.85	1.72	29.7	Bryan Brunet		
8	C12	8501	39.99	1.96	1.69	27.5	Bryan Brunet		
8	D12	8504	54.1	1.81	1.83	25.3	Bryan Brunet		
8	E12	8508	60.9	1.87	1.85	48.4	Bryan Brunet		
8	F12	8509	37.96	1.76	1.75	20.7	Bryan Brunet		
8	G12	8623	47.53	1.83	1.99	24.8	Bryan Brunet		
8	H12	8140	43.69	1.56	1.53	24.3	Bryan Brunet		
